# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.disposedBuffers,1710657637599000000,1710657697657000000,27
StorageLockContext.competingThreads.max,1710657637599000000,1710657697657000000,4
FilePageCache.pageFastCacheHits,1710657637599000000,1710657697657000000,3276927
FilePageCache.uncachedFileAccess,1710657637599000000,1710657697657000000,269
StorageLockContext.competingThreads.avg,1710657637599000000,1710657697657000000,0.04310344827586207
FilePageCache.maxRegisteredFiles,1710657637599000000,1710657697657000000,702
FilePageCache.totalPageDisposalsUs,1710657637599000000,1710657697657000000,30311
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1710657637599000000,1710657697657000000,0
DirectByteBufferAllocator.reclaimed,1710657637599000000,1710657697657000000,0
FilePageCache.pageHits,1710657637599000000,1710657697657000000,97008
DirectByteBufferAllocator.hits,1710657637599000000,1710657697657000000,0
DirectByteBufferAllocator.misses,1710657637599000000,1710657697657000000,1493
FilePageCache.capacityInBytes,1710657637599000000,1710657697657000000,524288000
FilePageCache.maxCacheSizeInBytes,1710657637599000000,1710657697657000000,356450304
FilePageCache.pageLoadsAboveSizeThreshold,1710657637599000000,1710657697657000000,0
FilePageCache.totalPageLoadsUs,1710657637599000000,1710657697657000000,820970
FilePageCache.pageLoads,1710657637599000000,1710657697657000000,1493
DirectByteBufferAllocator.disposed,1710657637599000000,1710657697657000000,27
StorageLockContext.competingThreads.90P,1710657637599000000,1710657697657000000,0
AWTEventQueue.eventsDispatched,1710657637599000000,1710657697657000000,3504
FlushQueue.queueSizeAvg,1710657637599000000,1710657697657000000,113.17194157029823
FlushQueue.waitingTimeMaxNs,1710657637599000000,1710657697657000000,11878268927
NonBlockingReadAction.finalizedExecutionTimeUs,1710657637599000000,1710657697657000000,4809516
FlushQueue.waitingTime90PNs,1710657637599000000,1710657697657000000,4831838207
NonBlockingReadAction.finalizedExecutionsCount,1710657637599000000,1710657697657000000,191
FlushQueue.tasksExecuted,1710657637599000000,1710657697657000000,3286
FlushQueue.queueSizeMax,1710657637599000000,1710657697657000000,357
FlushQueue.executionTimeMaxNs,1710657637599000000,1710657697657000000,8657043455
FlushQueue.executionTimeAvgNs,1710657637599000000,1710657697657000000,8651813.239196591
FlushQueue.queueSize90P,1710657637599000000,1710657697657000000,273
NonBlockingReadAction.failedExecutionTimeUs,1710657637599000000,1710657697657000000,228897
NonBlockingReadAction.failedExecutionsCount,1710657637599000000,1710657697657000000,3
FlushQueue.waitingTimeAvgNs,1710657637599000000,1710657697657000000,1.690138954673159E9
